Recipe Name,Ingredients,Instructions,Calories,Protein (g),Fat (g),Carbs (g),Meal Type,Allergens,Tags
Scrambled eggs with toast and avocado,"2 eggs, 1 slice whole wheat toast, 1/2 avocado, 1 tsp butter, salt, pepper","Scramble eggs in a pan with butter, season with salt and pepper. Serve with toast and mashed avocado.",350,18,22,25,Breakfast,"Eggs, Dairy, Gluten","Healthy, Energy Boosting, Breakfast, Dairy, Sweet, Homemade"
"Oatmeal with nuts, honey, and berries","1/2 cup oats, 1 cup milk, 1 tbsp honey, 1/4 cup mixed berries, 1 tbsp almonds","Cook oats in milk, top with honey, berries, and almonds.",320,10,8,50,Breakfast,"Dairy, Nuts","Breakfast, Homemade, Dairy, Energy Boosting"
Banana pancakes with maple syrup,"1 banana, 1 egg, 1/4 cup oats, 1 tbsp maple syrup, 1/2 tsp cinnamon","Mash banana, mix with egg and oats. Cook small pancakes on a skillet. Drizzle with maple syrup.",280,8,6,45,Breakfast,Eggs,"Breakfast, Homemade, Dairy, Energy Boosting"
Greek yogurt parfait with granola and fruits,"1 cup Greek yogurt, 1/4 cup granola, 1/4 cup mixed fruits, 1 tsp honey","Layer yogurt, granola, and fruits in a bowl. Drizzle with honey.",300,18,7,45,Breakfast,Dairy,"Plant-Based, Breakfast, Homemade, Energy Boosting"
Smoothie bowl with chia seeds and coconut flakes,"1 banana, 1/2 cup frozen berries, 1/2 cup almond milk, 1 tbsp chia seeds, 1 tbsp coconut flakes","Blend banana, berries, and almond milk. Pour into a bowl and top with chia seeds and coconut.",280,6,10,45,Breakfast,"Dairy, Nuts","Breakfast, Homemade, Dairy, Energy Boosting"
Homemade granola bars with nuts and dried fruits,"1/2 cup oats, 1 tbsp honey, 1 tbsp peanut butter, 1 tbsp dried fruits, 1 tbsp mixed nuts","Mix ingredients and press into a pan. Refrigerate, then cut into bars.",250,7,12,30,Breakfast,"Dairy, Nuts","Energy Boosting, Plant-Based, Breakfast, Sweet, Homemade"
Spinach and cheese omelet,"2 eggs, 1/4 cup spinach, 1/4 cup shredded cheese, 1 tsp butter, salt, pepper","Whisk eggs, cook with butter, add spinach and cheese, fold and serve.",330,22,25,5,Breakfast,"Eggs, Dairy","Energy Boosting, Breakfast, Dairy, Sweet, Homemade"
Peanut butter and banana toast,"1 slice whole wheat bread, 1 tbsp peanut butter, 1/2 banana","Spread peanut butter on toast, top with banana slices.",270,9,12,35,Breakfast,"Dairy, Gluten, Nuts","Sweet, Breakfast, Homemade, Energy Boosting"
Whole wheat waffles with honey,"1 whole wheat waffle, 1 tsp honey, 1/4 cup berries","Toast waffle, drizzle with honey, and top with berries.",250,7,8,40,Breakfast,Gluten,"Breakfast, Homemade, Energy Boosting"
Chia pudding with almond milk and mango,"2 tbsp chia seeds, 1/2 cup almond milk, 1/4 cup diced mango, 1 tsp honey","Mix chia seeds and almond milk, let sit overnight. Top with mango and honey.",200,5,10,30,Breakfast,"Dairy, Nuts","Breakfast, Homemade, Dairy, Energy Boosting"
